fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,wine_type
6.1,0.2,0.4,1.9,0.028,32.0,138.0,0.9914,3.26,0.72,11.7,0
6.8,0.64,0.0,2.7,0.123,15.0,33.0,0.99538,3.44,0.63,11.3,1
7.4,0.16,0.3,13.7,0.056,33.0,168.0,0.99825,2.9,0.44,8.7,0
6.9,0.84,0.21,4.1,0.074,16.0,65.0,0.99842,3.53,0.72,9.25,1
6.8,0.34,0.69,1.3,0.058,12.0,171.0,0.9931,3.06,0.47,9.7,0
7.0,0.23,0.36,7.1,0.028,31.0,104.0,0.9922,3.35,0.47,12.1,0
7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,1
6.7,0.11,0.26,14.8,0.053,44.0,95.0,0.99676,3.2,0.35,9.8,0
5.6,0.185,0.49,1.1,0.03,28.0,117.0,0.9918,3.55,0.45,10.3,0
8.044018279845956,0.32115064441592006,0.46799086007702223,11.300913992297776,0.040684021566110215,44.679451604621335,148.35890320924267,0.9961214623876764,3.2128219358151466,0.4812877432605866,10.983287086007733,0
6.5,0.26,0.32,16.5,0.045,44.0,166.0,1.0,3.38,0.46,9.5,0
7.7,0.3,0.42,14.3,0.045,45.0,213.0,0.9991,3.18,0.63,9.2,0
6.488228011853824,0.28716305812624565,0.3745673883747509,6.8927618363322125,0.03168510825621263,68.17304465009965,172.28369418737543,0.9928519133950299,3.3446380918166105,0.47992929655814026,11.905532476863788,0
7.0,0.36,0.25,5.7,0.015,14.0,73.0,0.98963,2.82,0.59,13.2,0
7.118463010317781,0.19999306786054064,0.23210708740512087,8.115785825189757,0.11397530779055759,32.236787377846376,162.15785825189758,0.994821112466888,3.198414485341565,0.3902607863733428,10.565751164492461,0
6.8,0.31,0.32,7.6,0.052,35.0,143.0,0.9959,3.14,0.38,9.0,0
7.628888483314155,0.25740737360951293,0.3919258988876103,1.9548147472190258,0.042644442416570776,50.45185252780974,157.87408286152666,0.9922251834276946,3.364148019716149,0.4493332724971232,11.377778791714613,0
6.8,0.14,0.35,1.5,0.047,40.0,117.0,0.99111,3.07,0.72,11.1,0
8.0,0.14,0.49,1.5,0.035,42.0,120.0,0.9928,3.26,0.4,10.6,0
7.4,0.22,0.33,2.0,0.045,31.0,101.0,0.9931,3.42,0.55,11.4,0
6.9,0.27,0.41,1.7,0.047,6.0,134.0,0.9929,3.15,0.69,11.4,0
6.858895023459026,0.2760736651027316,0.41822099530819473,7.187734835786815,0.029018416275682895,30.19631674486342,109.0184162756829,0.991479020269212,3.0760736651027316,0.5389576463355105,12.519631674486343,0
7.069280776602678,0.3853013678490079,0.28632534196225196,4.591575231695436,0.04142773937357638,30.265068392450395,120.8976025886756,0.9928241094279207,3.2816267098112597,0.5551198705662203,11.577705544907243,0
6.2,0.27,0.32,6.3,0.048,47.0,159.0,0.99282,3.21,0.6,11.0,0
7.6,0.56,0.12,10.4,0.096,22.0,177.0,0.9983,3.32,0.45,9.1,0
7.5,0.24,0.31,13.1,0.05,26.0,180.0,0.99884,3.05,0.53,9.1,0
7.8,0.24,0.18,6.7,0.046,33.0,160.0,0.9963,3.2,0.56,9.8,0
5.7,0.33,0.15,1.9,0.05,20.0,93.0,0.9934,3.38,0.62,9.9,0
10.2,0.44,0.58,4.1,0.092,11.0,24.0,0.99745,3.29,0.99,12.0,1
7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,1
6.3,0.76,0.0,2.9,0.072,26.0,52.0,0.99379,3.51,0.6,11.5,1
6.646458884859197,0.20464588848591964,0.32,1.14848237922537,0.0385151762077463,39.0,120.47470632042283,0.9904141155692255,3.2407082230281605,0.4098988252816913,12.159611598239323,0
7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.9974,3.11,0.45,8.7,0
6.8,0.31723284124664336,0.41808549080107416,7.0340608130510205,0.030595725459946294,29.404274540053706,109.85106863501343,0.991485111380414,3.1068076456975833,0.5870213727002686,12.529786272997315,0
5.84108830409007,0.2141088304090069,0.31948639619887415,1.7181288742589493,0.04407551315797344,38.051360380112584,95.05136038011258,0.9895057107383002,3.2305136038011257,0.9225374707617204,12.410272076022517,0
7.4,0.33,0.26,15.6,0.049,67.0,210.0,0.99907,3.06,0.68,9.5,0
8.4,0.36,0.36,11.1,0.032,21.0,132.0,0.99313,2.95,0.39,13.0,0
6.7,0.28,0.31,7.4,0.041,7.0,81.0,0.99254,3.04,0.47,11.4,0
8.5,0.4,0.4,6.3,0.05,3.0,10.0,0.99566,3.28,0.56,12.0,1
7.4,0.21,0.27,1.2,0.041,27.0,99.0,0.9927,3.19,0.33,9.8,0
5.9,0.44,0.36,2.5,0.03,12.0,73.0,0.99201,3.22,0.48,10.8,0
6.4,0.32,0.27,4.9,0.034,18.0,122.0,0.9916,3.36,0.71,12.5,0
7.8,0.25,0.34,13.7,0.044,66.0,184.0,0.99976,3.22,0.75,8.9,0
7.4,0.32,0.27,12.9,0.04,60.0,221.0,0.99831,3.05,0.66,9.4,0
8.400421778252895,0.45993251547953695,0.41339519414375786,2.6000843556505786,0.07733445807534105,7.332770962329475,17.0,0.9937011388012827,3.183319274058237,0.7867229037670526,12.63293967363063,1
7.6,0.27,0.24,3.8,0.058,19.0,115.0,0.9958,3.15,0.45,8.9,0
6.2,0.28,0.22,7.3,0.041,26.0,157.0,0.9957,3.44,0.64,9.8,0
6.674530709141424,0.15,0.2864419797388165,5.946075137315955,0.029322098986940826,14.322098986940825,105.71160405223671,0.9936149445441234,3.243220989869408,0.4471160405223671,10.577154442817454,0
7.709680508786134,0.2768280084797689,0.40682800847976885,1.8572603815896,0.04336560169595378,49.207002119942224,151.20700211994222,0.9934158599576011,3.429382055118498,0.50427396184104,10.52554046638729,0
7.8,0.26,0.74,7.5,0.044,59.0,160.0,0.996,3.22,0.64,10.0,0
6.741317993908993,0.37905509017476824,0.32340655521716627,3.17099023305068,0.041978033434850126,21.1450488347466,141.9274755826267,0.9903084832644333,3.184857043564632,0.3775383546080655,12.134065552171663,0
6.5669685257045955,0.3062670716140411,0.35061089637917586,6.893891036208242,0.028278280876174327,12.495472114431065,81.05203386677972,0.9924935288053627,3.1160859561912835,0.5360859561912837,11.345249401878922,0
7.5,0.14,0.74,1.6,0.035,21.0,126.0,0.9933,3.26,0.45,10.2,0
5.1,0.35,0.26,6.8,0.034,36.0,120.0,0.99188,3.38,0.4,11.5,0
6.711173809813894,0.3777088092047165,0.35449773834181,9.243284518442959,0.02955586904906947,30.88826190186106,110.0,0.9922529007122841,3.1643848806768005,0.6743848806768006,12.677652380372212,0
7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,1
8.8,0.19,0.3,5.0,0.028,34.0,120.0,0.99242,2.94,0.47,11.2,0
6.6,0.22,0.23,17.3,0.047,37.0,118.0,0.99906,3.08,0.46,8.8,0
7.862060745714105,0.34459797514286317,0.49,8.839070869999789,0.033,40.379392542858945,182.7587850857179,0.9933701012428569,3.134597975142863,0.38,12.345979751428633,0
9.1,0.28,0.49,2.0,0.059,10.0,112.0,0.9958,3.15,0.46,10.1,0
8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,1
6.73206792590589,0.3198101888858836,0.3099525472214709,11.13847405100732,0.04299050944429418,41.01898111141164,130.66508490738235,0.9940826573555976,3.1703796222282326,0.3735389620402928,11.465559435167654,0
6.2,0.22,0.28,2.2,0.04,24.0,125.0,0.9917,3.19,0.48,10.5,0
7.6,0.2,0.3,14.2,0.056,53.0,212.5,0.999,3.14,0.46,8.9,0
6.4,0.22,0.32,7.9,0.029,34.0,124.0,0.9948,3.4,0.39,10.2,0
7.4,0.155,0.34,2.3,0.045,73.5,214.0,0.9934,3.18,0.61,9.9,0
6.2,0.3,0.32,1.2,0.052,32.0,185.0,0.99266,3.28,0.44,10.1,0
6.4597298002520835,0.31104052996218756,0.35099549667086805,5.028964234299651,0.02980090066582639,33.701350998739585,101.29864900126042,0.9912995496670868,3.359004503329132,0.5870585432787153,12.460180133165277,0
5.4,0.53,0.16,2.7,0.036,34.0,128.0,0.98856,3.2,0.53,13.2,0
6.6,0.22,0.37,1.6,0.04,31.0,101.0,0.99009,3.15,0.66,12.0,0
7.2,0.19,0.31,6.3,0.034,17.0,103.0,0.99305,3.15,0.52,11.4,0
6.526357544131698,0.190543017652679,0.3465893860329244,1.5341061396707563,0.04,43.26357544131697,147.86821227934152,0.9915031117575145,3.32,0.5886821227934151,11.249603330748874,0
5.6,0.25,0.26,3.6,0.037,18.0,115.0,0.9904,3.42,0.5,12.6,0
6.3,0.16,0.22,1.3,0.046,18.0,66.0,0.99307,3.61,0.55,10.3,0
6.2,0.22,0.2,20.8,0.035,58.0,184.0,1.00022,3.11,0.53,9.0,0
6.737144102240146,0.32071397443996363,0.34885676932795634,6.915724869041237,0.039028471820788356,34.557161533602184,115.44283846639782,0.9912597152817921,2.973714410224015,0.32300043578405097,12.218572051120072,0
7.5,0.59,0.22,1.8,0.082,43.0,60.0,0.99499,3.1,0.42,9.2,1
7.2,0.27,0.27,2.4,0.048,30.0,149.0,0.9936,3.1,0.51,9.2,0
5.0,0.33,0.18,4.6,0.032,40.0,124.0,0.99114,3.18,0.4,11.0,0
7.083247039226555,0.25888313594843704,0.37167529607734445,5.293380150460852,0.026228550456719263,31.167529607734444,105.0,0.990774208573886,3.0639090241804703,0.33893491241250373,12.61116864051563,0
6.8,0.18,0.3,12.8,0.062,19.0,171.0,0.99808,3.0,0.52,9.0,0
7.8,0.21,0.39,1.8,0.034,62.0,180.0,0.991,3.09,0.75,12.6,0
6.5,0.4,0.1,2.0,0.076,30.0,47.0,0.99554,3.36,0.48,9.4,1
7.6,0.2,0.3,14.2,0.056,53.0,212.5,0.999,3.14,0.46,8.9,0
7.3,0.36,0.54,13.3,0.054,63.0,193.0,0.99864,3.06,0.49,8.6,0
8.5,0.21,0.26,9.25,0.034,73.0,142.0,0.9945,3.05,0.37,11.4,0
6.8,0.45,0.28,26.05,0.031,27.0,122.0,1.00295,3.06,0.42,10.6,0
8.4,0.62,0.12,1.8,0.072,38.0,46.0,0.99504,3.38,0.89,11.8,1
6.7532353411921395,0.30961072525905475,0.35,4.155864966061393,0.03,34.83114197927562,101.41557098963781,0.9914805104180056,3.330910030725353,0.6062335648445671,12.063650460880298,0
6.6,0.17,0.36,1.9,0.036,38.0,110.0,0.99056,3.05,0.54,11.4,0
7.2,0.22,0.35,5.5,0.054,37.0,183.0,0.99474,3.08,0.5,10.3,0
7.6,0.2,0.3,14.2,0.056,53.0,212.5,0.999,3.14,0.46,8.9,0
7.3,0.3504119235807653,0.35680397452692175,1.8037880252308391,0.043439867515769275,35.12026496846145,110.80066242115363,0.9910219933757884,3.3768039745269216,0.5019933757884637,12.743986751576927,0
5.1,0.11,0.32,1.6,0.028,12.0,90.0,0.99008,3.57,0.52,12.2,0
